id,part,verse,in_doctrine,in_life_of_oyasama,en_6th_ed,ro,jp1,jp2,kanji,en
527,6,35,,1,"Seeing this, an idea came to none other than the sincere mind of Tsukihi.",sore o mite omoi tsuita wa shinjitsu no   Tsukihi no kokoro bakari naru zo ya,それをみてをもいついたハしんぢつの,月日の心ばかりなるそや,それを見て思い付いたは真実の   月日の心ばかりなるぞや,"By seeing them, an idea came to no one but the truly sincere mind of Tsukihi."
528,6,36,,1,"If I should add instruments to them and teach them My providence step by step,",kono mono ni dogu o yosete dandan to   shugo oshieta koto de aru nara,このものにどふくをよせてたん／＼と,しゆこふをしゑた事であるなら,この者に道具を寄せて段々と   守護を教えた事で有るなら,"It should be good, if I call together instruments to add to them, and teach them My providence one by one."
529,6,37,,1,"These instruments being Kunisazuchi and Tsukiyomi, if I should put them into their bodies,",kono dogu Kunisazuchii to Tsukiyomi to   kore minouchi e shikomitaru nara,このどふくくにさづちいと月よみと,これみのうちゑしこみたるなら,この道具くにさづちと月よみと   これ身の内へ仕込みたるなら,"These instruments were Kunisazuchi and Tsukiyomi; if I put them into their bodies,"
530,6,38,,1,"And call together Kumoyomi, Kashikone, %Otonobe, and Taishokuten,",Kumoyomi to Kashikonee to Otonobe   Taishokuten to yoseta koto nara,くもよみとかしこねへとをふとのべ,たいしよく天とよせた事なら,くもよみとかしこねとおおとのべ   たいしょく天と寄せた事なら,"If I call Kumoyomi, Kashikone, Otonobe and Taishokuten altogether,"
531,6,39,,1,"Then, after holding counsel, God came to the firm decision to begin this world.",sorekara wa tashika sekai o hajime yo to   Kami no sodan shimari tsuitari,それからハたしかせかいを初よと,かみのそふだんしまりついたり,それからは確か世界を初めようと   神の相談締まり付いたり,"Then after a counsel with them I, God, came to the conclusion that the creation of this world must be positively commenced."
532,6,40,,1,"Since that time, the providence of God has been by no means an easy matter.",korekara wa Kami no shugo to yu mono wa   nami taitei na koto de nai zo ya,これからわ神のしゆごとゆうものハ,なみたいていなことでないそや,これからは神の守護と言うものは   並大抵な事で無いぞや,Since then the providence of God has been by no means easy.
533,6,41,,,It is indeed difficult to explain how I began things which had never existed.,imamade ni nai koto bakari hajimeru wa   nani o yu no mo mutsukashiki koto,いまゝてにない事ばかりはちめるわ,なにをゆうのもむつかしき事,今迄に無い事ばかり初めるは   何を言うのも難しき事,"It was indeed difficult, because I was beginning things which had never existed before."
534,6,42,,,There may be no one who knows the truth of the beginning of this world.,kono yo o hajime kaketaru shinjitsu o   tare ka shiritaru mono wa arumai,このよふをはちめかけたるしんぢつを,たれかしりたるものハあるまい,この世を初め掛けたる真実を   誰か知りたる者は有るまい,I suppose that there is no one who knows the truth of the creation of this world.
535,6,43,,,"From now on, I shall tell you everything step by step. Never take it to be false.",korekara wa dono yona koto mo dandan to   yute kikasuru uso to omouna,これからハとのよな事もたん／＼と,ゆうてきかするうそとをもうな,これからはどの様な事も段々と   言うて聞かする嘘と思うな,Henceforth I will tell you any and everything one by one. Never take it to be false!
536,6,44,,1,"I began human beings, taking a fish and a serpent as seed and seedbed.",ningen o hajime kaketa wa uo to mi to   kore nawashiro to tane ni hajimete,にんけんをはぢめかけたハうをとみと,これなわしろとたねにはじめて,人間を初め掛けたは魚と巳と   これ苗代と種に初めて,"I created human beings, taking a fish and a serpent as seed and seedbed."
537,6,45,,1,Tsukihi entered their bodies and taught them the providence step by step.,kono mono ni Tsukihi tainai irikonde   dandan shugo oshie konda de,このものに月日たいない入こんで,たん／＼しゆごをしゑこんだで,この者に月日体内入り込んで   段々守護教え込んだで,"Entering into their bodies, Tsukihi taught them the providence step by step."
538,6,46,,1,"The number of children was nine hundred million, ninety-nine thousand, nine hundred and ninety-nine.",kono kokazu kuoku kuman ni kusen nin   kuhyaku kuju ni ku nin naru zo ya,このこかす九をく九まんに九せん人,九百九十に九人なるそや,この子数九億九万に九千人   九百九十に九人なるぞや,"The number of these children amounted to nine hundred million, ninety-nine thousand, nine hundred and ninety-nine."
539,6,47,,1,"The children were conceived in three days and three nights, and there Izanami stayed for three years and three months.",kono nin o mikka miyosa ni yadoshi komi   san nen mi tsuki todomarite ita,この人を三か三よさにやどしこみ,三ねん三月とゝまりていた,この人を三日三夜に宿し込み   三年三月留まりて居た,"It took three days and three nights to conceive these children, and Izanami stayed there for three years and three months."
540,6,48,,1,The first children born were five bu tall and grew taller gradually.,soreyori mo umare dashita wa go bu kara ya   go bu go bu to shite sejin o shita,それよりもむまれだしたハ五分からや,五分五分としてせへぢんをした,それよりも生まれ出したは五分からや   五分五分として成人をした,"The first born was five bu, or about half an inch, tall, and grew up by five bu repeatedly."
541,6,49,,1,"By this providence once taught, the children were conceived in the same body three times.",kono mono ni ichido oshieta kono shugo   onaji tainai sando yadorita,このものに一どをしゑたこのしゆごふ,をなぢたいない三どやどりた,この者に一度教えたこの守護   同じ胎内三度宿りた,"By this providence once taught, children were conceived into the same womb three times."
542,6,61,1,1,The true and real God of this universe is Tsukihi. The others are all instruments.,kono yo no shinjitsu no Kami Tsukihi nari   ato naru wa mina dogu naru zo ya,このよふのしんぢつの神月日なり,あとなるわみなどふくなるそや,この世の真実の神月日なり   後なるは皆道具なるぞや,The true and real God of this universe is Tsukihi. The others are all instruments.
543,6,51,1,,"Drawing them forth one after another, I used them to begin human beings and gave to each a sacred name.",ningen o hajime yo tote dandan to   yosete tsukota kore ni kamina o,にんけんをはしめよふとてたん／＼と,よせてつこふたこれに神なを,人間を初めようとて段々と   寄せて使うたこれに神名を,"To create human beings, I called together these instruments, and gave a sacred name to each of them."
544,6,52,,,Izanagi and Izanami are the prime instruments. They are the basis of the Grand Shrine of Teshoko.,Izanagi to Izanamii to ga ichi no Kami   kore Teshoko no Daijingu nari,いざなぎといざなみいとが一の神,これてしよこの大じんくゝなり,いざなぎといざなみとが一の神   これ天照皇太神宮なり,"Izanagi and Izanami are the names of the prime providence in the creation. In relation to this providence, the supreme god of this country is enshrined and respected in the Teishoko-no-Daijingu."
545,6,53,,,"In the days to come, I shall teach you everything step by step. It will be solely about things you have never known.",matasaki wa nanika dandan toku keredo   imamade shiran koto bakari ya de,またさきハなにかたん／＼とくけれど,いまゝてしらん事ばかりやで,また先は何か段々説くけれど   今迄知らん事ばかりやで,Henceforward I will teach you step by step any and everything of which you have never heard.
546,6,54,,,"Hereafter, whatever I say will be solely about the beginnings of human beings.",konosaki wa nani o yutemo ningen o   hajime kaketaru koto bakari ya de,このさきハなにをゆうてもにんげんを,はぢめかけたる事ばかりやで,この先は何を言うても人間を   初め掛けたる事ばかりやで,Henceforth I will tell you exclusively about the creation of human beings.
547,6,55,1,1,This is the Residence where I began this world. Therein lives the original Parent of human beginnings.,kono yo o hajime dashitaru yashiki nari   ningen hajime moto no Oya nari,このよふをはぢめだしたるやしきなり,にんけんはじめもとのをやなり,この世を初め出したる屋敷なり   人間初め元の親なり,This is the Residence where I created this human world. She is the original Parent who gave birth to all human beings.
548,6,56,1,1,"Discerning this, Tsukihi descended from the desire to teach about all matters.",Tsukihi yori sore o misumashi amakudari   nanika yorozu o shirashitai kara,月日よりそれをみすましあまくだり,なにかよろづをしらしたいから,月日よりそれを見澄まし天下り   何か万を知らしたいから,"After identifying this Preordination, I, Tsukihi, revealed Myself at this place to teach the truth of any and everything."
549,6,57,,,"Truly, the thought in the mind of Tsukihi is to receive the shrine of each.",shinjitsu ni Tsukihi no kokoro omou niwa   meme no yashiro morota koto nara,しんぢつに月日の心をもうにわ,めへ／＼のやしろもろた事なら,真実に月日の心思うには   銘々の社貰ろた事なら,"I, God, truly desire that each providence is presented with a temple."
550,6,58,,,"Then I would teach exactly as I wish, freely and unlimitedly at any time.",soreyori mo juyojizai ni itsu nari to   omou mama naru hanashi shiyo mono,それよりもぢうよぢざいにいつなりと,をもうまゝなるはなしゝよもの,それよりも自由自在に何時なりと   思う侭なる話しようもの,Then I will tell you freely any and everything that I please at the time that I desire.
551,6,59,1,,"Even until now, though having firmly received the Shrine of Tsukihi, I have been keeping still.",imamade mo Tsukihi no yashiro shikkari to   morote aredomo izumi ita nari,いまゝでも月日のやしろしいかりと,もろてあれどもいづみいたなり,今迄も月日の社確りと   貰うて有れどいずみ居たなり,"Already I have firmly taken the Shrine of Tsukihi, but have been rather inactive."
552,6,60,,,"This time, I shall surely reveal Myself openly and tell you the truth of all matters.",konotabi wa tashika omote i arawarete   nanika yorozu o mina yute kikasu,このたびハたしかをもていあらハれて,なにかよろつをみなゆてきかす,この度は確か表へ現れて   何か万を皆言うて聞かす,"This time, however, I really reveal Myself to the fore, and teach you any and everything."
553,6,61,,1,"Until now, since I kept Myself behind a bamboo screen, nothing was able to be seen.",imamade wa misu no uchira ni itaru kara   nani yono koto mo miete nakeredo,いままでハみすのうぢらにいたるから,なによの事もみへてなけれど,今迄は御簾の内らに居たるから   何よの事も見えて無けれど,"Hitherto I have been sitting behind a bamboo screen, so nothing has yet appeared."
554,6,62,,1,"This time, as I have come out into brightness, everything will be seen quickly.",konotabi wa akai tokoro i detaru kara   dono yona koto mo suguni mieru de,このたびハあかいところいでたるから,とのよな事もすぐにみゑるで,この度は明い所へ出たるから   どの様な事も直ぐに見えるで,"But now, as I have come into the light, everything shall immediately be realized."
555,6,63,1,1,What do you think of these red clothes? Tsukihi dwells within.,kono akai kimono o nanto omote iru   naka ni Tsukihi ga komori iru zo ya,このあかいきものをなんとをもている,なかに月日がこもりいるそや,この赤い着物を何と思うて居る   中に月日が篭り居るぞや,What do you think of these red clothes? There is Tsukihi dwelling within.
556,6,64,,,"Even until now, though everything was under the rule of Tsukihi, things were overlooked because the day had not yet come.",imamade mo Tsukihi no mama de aru naredo   hi ga kitarande miyurushite ita,いまゝでも月日のまゝであるけれど,ひがきたらんでみゆるしていた,今迄も月日の侭で有るけれど   日が来たらんで見許して居た,"Even until now everything has been managed by Me, Tsukihi. But I have been tolerant of this because the day has not yet come."
557,6,65,,,"Now that the time is sufficiently full, I shall manage everything as I intend.",konotabi wa mo jubun ni hi mo kitari   nanika yorozu o mamani suru nari,このたびハもふぢうふんにひもきたり,なにかよろづをまゝにするなり,この度はもう十分に日も来たり   何か万を侭にするなり,Now the day has come enough. So I will manage any and everything as I intend.
558,6,66,,,"Unaware of this, what is the thinking of the high mountains who are managing everything as they please?",sore shirazu takayama nitewa nanimo kamo   nanto omote mamani suru zo ya,それしらす高山にてハなにもかも,なんとをもふてまゝにするぞや,それ知らず高山にては何もかも   何と思うて侭にするぞや,"Unaware of this, with what thought are those who are on the high mountains managing any and everything as they please?"
559,6,67,,1,"In any concerns, never think that there is a human mind at this place.",nani goto mo kono tokoro niwa ningen no   kokoro wa sarani aru to omouna,なに事もこのところにハにんけんの,心ハさらにあるとをもうな,何事もこの所には人間の   心は更に有ると思うな,Never think that I have a human mind at this place in whatever kinds of matters!
560,6,68,,1,"Whatever I may say or write by the tip of My brush, it is none other than directions from the mind of Tsukihi.",dono yona koto o yu nimo fudesaki mo   Tsukihi no kokoro sashizu bakari de,どのよふな事をゆうにもふでさきも,月日の心さしすばかりで,どの様な事を言うにも筆先も   月日の心指図ばかりで,"Whatever I may say or write with the tip of My writing brush, it is indeed nothing but the directions of Tsukihi."
561,6,69,,,"Whatever the high mountains may say or think, it is all from their human thoughts.",takayama wa nani o yutemo omou nimo   mina ningen no kokoro bakari de,高山ハなにをゆうてもをもうにも,みなにんけんのこころばかりで,高山は何を言うても思うにも   皆人間の心ばかりで,"Whatever the upper people may say or think, it is all from their human thoughts."
562,6,70,,1,They banned the name given by Tsukihi. What do you think of this regret of Mine?,Tsukihi yori tsuketa namai o toriharai   kono zannen o nanto omou zo,月日よりつけたなまいをとりはらい,このさんねんをなんとをもうぞ,月日より付けた名前を取り払い   この残念を何と思うぞ,They rejected the name given by Tsukihi. What do you think of this deep regret of Mine?
563,6,71,,1,Know that in truth the anger and regret of Tsukihi are not small matters.,shinjitsu no Tsukihi rippuku zannen wa   yoi naru koto de nai to omoe yo,しんちづの月日りいふくさんねんわ,よいなる事でないとをもゑよ,真実の月日立腹残念は   容易なる事で無いと思えよ,Understand that the true anger and regret of Tsukihi is not slight!
564,6,72,,,"Until now, the high mountains, boastful, have thrived and done as they pleased in every matter.",imamade wa takai yama ya to habikarite   nanika yorozu o mamani shitaredo,いまゝでハ高い山やとはびかりて,なにかよろづをまゝにしたれど,今迄は高い山やと蔓延りて   何か万を侭にしたれど,Until now those who are on the high mountains have been rampant and managing everything as they please.
565,6,73,,,"But from now on, I, Tsukihi, shall do as I please instead. Copy what I do if you can.",korekara wa Tsukihi kawarite mamani suru   nanika no koto o mane o shite miyo,これからハ月日かハりてまゝにする,なにかの事をまねをしてみよ,これからは月日代わりて侭にする   何かの事を真似をして見よ,"But from now on, in their place I, Tsukihi, will reign as I intend. Copy whatever I do, if you can!"
566,6,74,,,"Whatever I may say or do at this place, it is none other than the thought of Tsukihi.",kono tokoro nani o yu nimo nasu koto mo   Tsukihi no omou koto bakari ya de,このところなにをゆうにもなす事も,月日のをもう事ばかりやで,この所何を言うにも為す事も   月日の思う事ばかりやで,"Whatever I may do or say, it is nothing but things which Tsukihi intends."
567,6,75,,,"From now on, I shall work solely on preparations to clear away the regret from the mind of Tsukihi.",korekara wa Tsukihi no kokoro zannen o   harasuru moyo bakari suru zo ya,これからハ月日の心ざんねんを,はらするもよふばかりするそや,これからは月日の心残念を   晴らする模様ばかりするぞや,Henceforth I will try to arrange single-heartedly to clear away the regret of Tsukihi.
568,6,76,,,"Hereafter, whatever dust may be stirred up, never think it is an illness.",konosaki wa dono yona hokori tatsu totemo   kore o yamai to sarani omouna,このさきハどのよなほこりたつとても,これをやまいとさらにをもうな,この先はどの様な埃立つとても   これを病と更に思うな,"Whatever kind of dust may rise in the future, never take it to be an illness!"
569,6,77,,,I shall give returns for the regrets of Tsukihi piled mountainously high until now.,imamade mo Tsukihi zannen yamayama ni   tsumorite aru o kayashi suru zo ya,いまゝでも月日さんねん山／＼に,つもりてあるをかやしするぞや,今迄も月日残念山々に   積りて有るを返しするぞや,This is the return for My regret which has hitherto piled up like a mountain.
570,6,78,,,"Even until now, though I spoke of My returns, you have been wondering what it could mean.",imamade mo kayashi to yute toitaredo   nanno koto ya to omote ita nari,いまゝでもかやしとゆうてといたれど,なんの事やとをもていたなり,今迄も返しと言うて説いたれど   何の事やと思うて居たなり,Hitherto I have often told you of My return. But you were wondering what it could mean.
571,6,79,,,"This is what My returns mean in truth. Beware, all of you on the high mountains!",shinjitsu ni kayashi to yu wa kono koto ya   takayama wa mina shochi shite iyo,しんぢつにかやしとゆうハこの事や,高山ハみなしよちしていよ,真実に返しと言うはこの事や   高山は皆承知して居よ,"Truly, what was called My return is this. Be aware of it, all who are on the high mountains!"
572,6,80,,,This world was a muddy ocean. Therein was Tsukihi alone.,kono yo wa doroumi naka no koto narushi   naka ni Tsukihi ga itaru made nari,このよふわどろうみなかの事なるし,なかに月日がいたるまでなり,この世は泥海中の事なるし   中に月日が居たる迄なり,"This world was a muddy ocean. And therein was I, Tsukihi, living alone."
573,6,81,,,An idea came to Tsukihi: how promising it would be to begin a world.,Tsukihi yori shinjitsu omoi tsuitaru wa   nanto sekai o hajime kaketara,月日よりしんぢつをもいついたるわ,なんとせかいをはじめかけたら,月日より真実思い付いたるわ   何と世界を初め掛けたら,"I, Tsukihi, was struck by an idea, imagining how hopeful it would be to create the world."
574,6,82,,,It was difficult to begin a world which did not exist. I prepared to find what could be used as instruments.,nai sekai hajime kakeru wa mutsukashii   nanto dogu o midasu moyo o,ないせかいはじめかけるハむつかしい,なんとどふぐをみたすもよふを,無い世界初め掛けるは難しい   何と道具を見出す模様を,It is indeed difficult to create a world which does not exist. I prepared to find what could be used as instruments.
575,6,83,,,"Looking carefully within, I found loaches, a fish and a serpent, and other creatures, too.",misumaseba naka ni dojo mo uo mii mo   hoka naru mono mo miete aru nari,みすませばなかにどぢよもうをみいも,ほかなるものもみへてあるなり,身澄ませば中に泥鰌も魚巳も   他なる者も見えて有るなり,"Looking carefully through the muddy ocean, I found loaches, a fish and a serpent and others, too."
576,6,84,,,I called them together and conferred with them to begin My providence for human beings.,sono mono o mina hikiyosete danjiyai   ningen shugo hajime kaketara,そのものをみなひきよせてたんぢやい,にんけんしゆごはぢめかけたら,その者を皆引き寄せて談じ合い   人間守護初め掛けたら,I called those together and conferred with them how to begin to create human beings.
577,6,85,,,"In order to begin a world which did not exist, I, Tsukihi, devoted Myself at every step.",nai sekai hajime yo tote kono Tsukihi   dandan kokoro tsukushi taru yue,ないせかいはじめよふとてこの月日,たん／＼心つくしたるゆへ,無い世界初めようとてこの月日   段々心尽くしたる故,"Because I, Tsukihi, have endeavored step by step to create this world which did not exist."
578,6,86,,,There is no one who knows of this path. What do you think of this regret of Tsukihi?,kono michi o shiritaru mono wa sarani nashi   Tsukihi zannen nanto omou zo,このみちをしりたるものハさらになし,月日ざんねんなんとをもうぞ,この道を知りたる者は更に無し   月日残念何と思うぞ,There is no one who knows of this way. What do you think of this regret of Tsukihi?
579,6,87,,,"So much thought has gone into beginning this world, how deep is the regret in the mind of Tsukihi!",kora hodoni omote hajimeta kono sekai   Tsukihi no kokoro nanto zannen,こらほどにをもてはじめたこのせかい,月日の心なんとざんねん,こら程に思うて初めたこの世界   月日の心何と残念,This is the world which God created with so deep intention and strenuous efforts. What regret the mind of Tsukihi is feeling now!
580,6,88,1,,"Only through the exhaustive efforts of Tsukihi, made step by step, have you become the humans you are.",Tsukihi yori dandan kokoro tsukushi kiri   sono yue naru no ningen de aru,月日よりたん／＼心つくしきり,そのゆへなるのにんけんである,月日より段々心尽くし切り   その故なるの人間で有る,It is through the utmost exertion of Tsukihi that human beings have become what they are.
581,6,89,,,"Unaware of this, the high mountains at present are rampant and doing as they please.",sore shirazu ima no tokoro wa takayama wa   mina habikarite mamani shite iru,それしらす今のところハ高山ハ,みなはびかりてまゝにしている,それ知らず今の所は高山は   皆蔓延りて侭にして居る,"Unaware of this, at present those who are on the high mountains are rampant and manage everything as they please."
582,6,90,,,This is the greatest regret of Tsukihi. There is no knowing what I may give in return.,kono Tsukihi daiichi kore ga zannen na   donna kayashi o suru ya shiren de,この月日大一これがざんねんな,どんなかやしをするやしれんで,この月日第一これが残念な   どんな返しをするや知れんで,This is the cause of the prime regret of Tsukihi. There is no knowing what kind of return I may give.
583,6,91,,,"In this world, landslides, thunder, earthquakes, and great winds are all from the anger of Tsukihi.",kono sekai yamague nazo mo kaminari mo   jishin okaze Tsukihi rippuku,このせかい山ぐゑなそもかみなりも,ぢしんをふかぜ月日りいふく,この世界山崩え等も雷も   地震大風月日立腹,"In this world, land slides, thunder, earthquakes and typhoons are all the manifestations of the anger of Tsukihi."
584,6,92,,1,"Beware, you grand shrines and high mountains whoever! There is no knowing when Tsukihi will rush out.",dono yona taisha takayama yudan shina   nandoki Tsukihi tondederu yara,どのよふなたいしや高山ゆたんしな,なんとき月日とんてゞるやら,どの様な大社高山油断しな   何時月日飛んで出るやら,"Be on the alert, grand shrines and peple on the high mountains! Because there is no knowing at what moment Tsukihi will rush out."
585,6,93,,,"Let all of you in the world take care, for Tsukihi will never hold back!",ichiretsu wa minamina waga mi ki o tsuke yo   Tsukihi enryo wa sarani nai zo ya,一れつハみな／＼わがみきをつけよ,月日ゑんりよわさらにないぞや,一列は皆々我が身気を付けよ   月日遠慮は更に無いぞや,"Take care of your own bodies, all of you! Because I, Tsukihi, will work without reserve."
586,6,94,,,"Having warned you about all matters as much as I can, Tsukihi will begin to work.",nanimo kamo seeippai ni kotowarite   sorekara kakaru Tsukihi shigoto o,なにもかもせへいゝバいにことわりて,それからかゝる月日しことを,何も彼も精一杯に断りて   それから掛かる月日仕事を,"Having warned you on any and everything as much as possible, I, Tsukihi, will begin My work."
587,6,95,,,"In whatever things, bear no grudges. It is all a matter of your self-reproach.",dono yona koto mo urami ni omouna yo   mina meme no miurami de aru,とのよふな事もらみにをもうなよ,みなめへ／＼のみうらみである,どの様な事も恨みに思うなよ   皆銘々の身恨みで有る,Never bear a grudge against others in whatever kinds of matters! Rather reproach yourself in all matters.
588,6,96,,,I have told you this talk repeatedly step by step. Please understand it thoroughly.,kono hanashi dandan kudoki tsumete aru   kore shikkari to kikiwakete kure,このはなしたん／＼くどきつめてある,これしいかりときゝわけてくれ,この話段々口説き詰めて有る   これ確りと聞き分けて呉れ,This talk I have repeatedly told you step by step. Listen attentively and comprehend it well!
589,6,97,,,"All humankind, everything depends on the heart of each of you. Know that Tsukihi is discerning it.",ichiretsu wa mina meme no mune shidai   Tsukihi miwakete iru to omoe yo,一れつハみなめへ／＼のむねしたい,月日みハけているとをもゑよ,一列は皆銘々の胸次第   月日見分けて居ると思えよ,"Realize that I, Tsukihi, am distinguishing each of your hearts just as they deserve!"
590,6,98,,,"Once Tsukihi has truly discerned your mind, I shall give you a return as soon as I have accepted it.",Tsukihi yori shinjitsu kokoro misadamete   uketori shidai kayashi suru nari,月日よりしんぢつ心みさだめて,うけとりしたいかやしするなり,月日より真実心見定めて   受け取り次第返しするなり,"I, Tsukihi, will truly ascertain your sincerity, and as soon as I accept it, I will give a fair return."
591,6,99,,,"Until now, whatever you have said or thought, it was only from the human mind.",imamade wa nani o yutemo omotemo   mina ningen no kokoro bakari de,いまゝでハなにをゆうてもをもふても,みなにんけんの心はかりで,今迄は何を言うても思うても   皆人間の心ばかりで,Until now you have been speaking and thinking only with human thoughts.
592,6,100,,,"From now on, whether you do good or evil, I shall give you a return at once accordingly.",korekara wa yoki koto shite mo ashiki demo   sono mama suguni kayashi suru nari,これからハよき事してもあしきでも,そのまゝすぐにかやしするなり,これからは善き事しても悪しきでも   その侭直ぐに返しするなり,"Henceforth I will give a return at once for whatever you have done, good or evil."
593,6,101,,,"Until now, I have looked on with understanding, but from now on there will be no allowances.",imamade wa nanika satori mo aritakedo   mo korekara wa satori nai zo ya,いまゝでハなにかさとりもありたけど,もふこれからハさとりないぞや,今迄は何か悟りも有りたけど   もうこれからは悟り無いぞや,"Until now there have been some allowances, but from now on nothing shall be overlooked."
594,6,102,1,,The true Parent of this universe is Tsukihi. It is I who protect you in everything.,kono yo no shinjitsu no Oya Tsukihi nari   nanika yorozu no shugo suru zo ya,このよふのしんぢつのをや月日なり,なにかよろづのしゆこするぞや,この世の真実の親月日なり   何か万の守護するぞや,"The true and real Parent of this universe is I, Tsukihi. I will protect you in any and everything."
595,6,103,,,"Hereafter, nothing I say will be false. Take all My words to be true and understand them.",konosaki wa nani o yutemo uso wa nai   mina shinjitsu to omote kikiwake,このさきハなにをゆうてもうそハない,みなしんぢつとをもてきゝわけ,この先は何を言うても嘘は無い   皆真実と思うて聞き分け,"Henceforth there shall be nothing false, whatever I may say. Listen and comprehend it well, taking My words to be all true!"
596,6,104,,,"Everything there is, was begun by the sincere thoughts of Tsukihi.",dono yona koto demo Tsukihi shinjitsu ni   omote hajimeta koto bakari ya de,どのよふな事でも月日しんぢつに,をもてはじめた事ばかりやで,どの様な事でも月日真実に   思うて初めた事ばかりやで,"Whatever kind of thing it may be, it was all commenced from the true sincerity of Tsukihi."
597,6,105,,,"Until now, when there was illness, you turned to doctors and medicine. Though all of you have worried,",imamade wa yamai to yueba isha kusuri   mina shinpai o shitaru naredomo,いまゝでハやまいとゆへばいしやくするり,みなしんバいをしたるなれども,今迄は病と言えば医者薬   皆心配をしたるなれども,"Until now when you fell ill, you immediately called in doctors and took medicine. Thus all of you have worried yourselves."
598,6,106,,1,"From now on, I shall save you from any pains, sufferings, or tumors by the Breath and the Hand Dance.",korekara wa itami nayami mo dekimono mo   Iki Teodori de mina tasukeru de,これからハいたみなやみもてきものも,いきてをどりでみなたすけるで,これからは痛み悩みも出来物も   息手踊りで皆救けるで,"But henceforth, by means of the Iki, the Grant of Breath, and the Teodori, the Grant of Hand Dance, I will save you all from any pains, sufferings or tumors."
599,6,107,,1,"Though you have never known such salvation until now, from now on, try it and see!",kono tasuke imamade shiranu koto naredo   korekara saki wa tameshi shite miyo,このたすけいまゝでしらぬ事なれど,これからさきハためしゝてみよ,この救け今迄知らぬ事なれど   これから先は試しして見よ,"Even though you have been ignorant of such salvation until now, henceforth try it!"
600,6,108,,1,"No matter how serious the illness may be, I shall save you by the truth of Breath.",dono yona mutsukashiki naru yamai demo   shinjitsu naru no Iki de tasukeru,どのよふなむつかしきなるやまいでも,しんぢつなるのいきでたすける,どの様な難しきなる病でも   真実なるの息で救ける,"However critically ill you may be, I will save you by means of the truly sincere Iki, the Grant of Breath."
601,6,109,,,"When Tsukihi has ascertained your mind's sincerity, know that I shall grant you every kind of protection.",Tsukihi yori shinjitsu kokoro misadamete   ikana shugo mo suru to omoe yo,月日よりしんじつ心みさためて,いかなしゆこふもするとをもゑよ,月日より真実心見定めて   如何な守護もすると思えよ,"When I, Tsukihi, have truly ascertained the sincerity of your mind, I will work whatever protection."
602,6,110,,,Your newborns shall be free from smallpox and measles. They shall live on without illness or death.,umare ko hoso hashika mo sen yoni   yamazu shinazu ni kurasu koto nara,むまれこふほふそはしかもせんよふに,やますしなすにくらす事なら,生まれ子を疱瘡麻疹もせん様に   病まず死なずに暮らす事なら,"I wish your newborn baby does not contact smallpox or measles, and grows up never falling ill nor dying early."
603,6,111,,,"Listen carefully: whatever free and unlimited workings I may do, it is all from the mind of Tsukihi.",shikato kike ikana juyo suru totemo   Tsukihi no kokoro bakari naru zo ya,しかときけいかなぢうよふするとても,月日の心ばかりなるぞや,確と聞け如何な自由するとても   月日の心ばかりなるぞや,"Listen attentively! Whatever kind of omnipotence I may work, it is all from the mind of Tsukihi."
604,6,112,,,"Though even until now I have made most of My appeals, still more needs to be said of Tsukihi's thoughts.",imamade mo taite kudoki mo toitaredo   mada yuitaran Tsukihi omowaku,いまゝでもたいてくどきもといたれど,まだゆいたらん月日をもわく,今迄も大抵口説きも説いたれど   未だ言い足らん月日思惑,"Hitherto I have tried to persuade you ever so often, yet there remains something more untold of the intention of Tsukihi."
605,6,113,,,"At this time, because the regret of Tsukihi has piled up so high, you shall hear all of it.",konotabi wa nanika Tsukihi no zannen o   tsumori aru kara mina yute oku,このたびハなにか月日のざんねんを,つもりあるからみなゆうてをく,この度は何か月日の残念を   積り有るから皆言うて置く,"This time I will tell you all of the regret of Tsukihi, because it has piled up so much."
606,6,114,,,"Since the single-hearted salvation is being stopped at this place, I cannot bear but to give a return.",kono tokoro tasuke ichijo tomerarete   nandemo kayashi sezu ni iraren,このところたすけ一ぢよとめられて,なんてもかやしせすにいられん,この所救け一条止められて   何でも返しせずに居られん,"As My single-hearted salvation is forbidden at present, I cannot help but give a due return for all things."
607,6,115,,,"In this return, I shall clear away the grand shrines and high mountains. Let all of you be aware!",kono kayashi taisha takayama toriharai   mina ichiretsu wa shochi shite iyo,このかやしたいしや高山とりはらい,みな一れハしよちしていよ,この返し大社高山取り払い   皆一列は承知して居よ,"In this return, grand shrines and those who are on the high mountains shall be all demolished. Remember this, all of you!"
608,6,116,,,"What are you thinking on hearing this talk? Flames of heaven, rains of fire, and tidal waves in the seas...",kono hanashi nanto omote kiite iru   tenbi hi no ame umi wa tsunami ya,このはなしなんとをもふてきいている,てんび火のあめうみわつなみや,この話何と思うて聞いて居る   天火火の雨海は津波や,"What do you think on hearing this talk? The flames of heaven and rain of fire shall come down from the sky, and the sea shall swell into tidal waves."
609,6,117,,,Such is the great anxiety in the mind of Tsukihi. What is the whole world thinking?,kora hodono Tsukihi no kokoro shinpai o   sekaiju wa nanto omoteru,こらほどの月日の心しんバいを,せかいぢうハなんとをもてる,こら程の月日の心心配を   世界中は何と思うてる,What do all of you of the whole world think of this serious anxiety in the mind of Tsukihi?
