verse_id,part,verse,in_doctrine,in_life_of_oyasama,pt,en_6th_ed,ro,jp1,jp2,kanji,english
344,4,74,,,"Quanto ao Serviço, primeiro o Teodori e depois o Kagura. Tenho aberto apenas um caminho estreito.","About the Service: first the Teodori, then the Kagura. Thus, I have opened just a narrow path.",Tsutome demo hajime Teodori mata Kagura   choto no hosomichi tsukete aredomo,つとめても初てをどりまたかぐら,一寸のほそみちつけてあれども,勤めでも初め手踊りまた神楽   一寸の細道付けて有れども,"Concerning the Service, I have taught the Teodori at first and then the Kagura. Thus I have already opened a narrow path."
345,4,75,,,Não se distingue o caminho devido ao mato que cresce gradualmente. Preparem-se para abrir logo o caminho real.,"But weeds have gradually grown thick and the path is obscure. Quickly, the preparations to open the main path!",dandan to kusa ga shikorite michi shirezu   hayaku honmichi tsukeru moyo o,だん／＼とくさがしこりてみちしれす,はやくほんみちつけるもよふを,段々と草がしこりて道知れず   早く本道付ける模様を,"But weeds have gradually grown thick and the path is obscure. So, quickly begin arrangements for opening the main road!"
346,4,76,,,Apressem-se dia a dia com espírito animado. Se abrirem prontamente o caminho real…,"Day after day, hasten with spirited minds. If only the main path be quickly opened...",nichinichi ni kokoro isande sekikome yo   hayaku honmichi tsuketa koto nara,にち／＼に心いさんでせきこめよ,はやくほんみちつけた事なら,日々に心勇んで急き込めよ   早く本道付けた事なら,"Cheer up your mind day by day, and hurry up! If only the main road be quickly opened,"
347,4,77,,,"Se este caminho real for aberto verdadeiramente, o futuro será promissor e repleto de alegria.","When this main path is truly opened, thereafter you will lead a life full of joy and promise.",shinjitsu ni kono honmichi ga tsuita nara   sue wa tanomoshi yokizukume ya,しんぢつにこのほんみちがついたなら,すへハたのもしよふきづくめや,真実にこの本道が付いたなら   末は頼もし陽気ずくめや,"When this main road is truly opened, you will enjoy the delightful and all joyous life in the future."
348,4,78,,,Apressa-se mais a salvação dos da vizinhança. Reflitam logo sobre isso.,Even more do I hasten to save the villagers. Please ponder quickly!,murakata wa naomo tasuke o sete iru   hayaku shiyan o shite kureru yo,村かたハなをもたすけをせへている,はやくしやんをしてくれるよふ,村方は尚も救けを急いて居る   早く思案をして呉れるよう,I am hastening to save the villagers still more quickly! Please ponder over it in haste!
349,4,79,1,,"Para mim, Deus, o mundo todo são meus filhos. Saibam todos que sou o Parens.","To God, people throughout the world are all My children. All of you equally, know that I am your Parent!",sekaiju Kami no ta niwa mina waga ko   ichiretsu wa mina Oya to omoe yo,せかいぢう神のたあにハみなわがこ,一れつハみなをやとをもゑよ,世界中神のたあには皆我が子   一列は皆親と思えよ,"For God, people of the whole world are all My children. All of you equally must understand that I am your Parent."
350,4,80,,,"No mundo inteiro, tenho começado com sermões. Devem ir ouvir o que está sendo explicado.","Throughout the world, I have begun what is known as sermons. When they are delivered, you may go and hear them.",sekaiju sekkyo to shite hajime kake   toite kikasuru kiki ni iku nari,せかいぢうせきゝよとしてはちめかけ,といてきかするきゝにいくなり,世界中説教として初め掛け   説いて聞かする聞きに行くなり,"All around the world, I have begun various sermons. When those are delivered, you may go and hear them."
351,4,81,,,"Embora se falem tanto sobre coisas já vistas, se não conhecerem a origem, nunca as entenderão.","Whatever may be said about things already seen, unless the origin is known, there can be no understanding.",ika hodoni mietaru koto o yuta tote   moto o shiraneba wakaru me wa nashi,いかほどにみゑたる事をゆうたとて,もとをしらねばハかるめハなし,如何程に見えたる事を言うたとて   元を知らねば分かるめは無し,"However skillfully they may preach things which have already appeared, the truth will not be expounded. Because they do not know the origin."
352,4,82,,,"Deixo dito gradualmente apenas coisas inexistentes. Quando surgirem, saberão que são verdades.","Step by step, I shall tell you solely about things unknown. When they appear, you will know that it is the truth.",dandan to nai koto bakari yute oite   sore deta naraba kore ga makoto ya,だん／＼とない事ばかりゆてをいて,それでたならばこれがまことや,段々と無い事ばかり言うて置いて   それ出たならばこれが誠や,"One by one I will tell you things which do not yet exist. When it is realized, you will understand that My word is true."
353,4,83,,,"Todos os filhos que se amparam em Deus, preparem-se para saírem logo ao mundo.","All of you children who lean on God, quickly make preparations to go out into the open.",ichiretsu ni Kami ni motareru kono kodomo   hayaku omote i deru moyo seyo,一れつに神にもたれるこのこども,はやくをもていでるもよふせよ,一列に神に凭れるこの子供   早く表へ出る模様せよ,"All of you children who lean upon God, quickly prepare to go out to the fore!"
354,4,84,,,"Se pensam realmente em sair ao mundo, procurem a essência, acalmando o espírito.","If you truly desire to go out into the open, calm your mind and seek the core.",shinjitsu ni omote deyo to omou nara   kokoro shizumete shin o tazune yo,しんぢつにをもてゞよふとをもうなら,心しづめてしんをたづねよ,真実に表へ出ようと思うなら   心静めて真を訪ねよ,"If you truly wish to go out to the fore, calm your mind and look for the core of the world!"
355,4,85,,,"Se a sinceridade for verificada no íntimo do coração dos filhos, farei toda e qualquer preparação.","You children, when the innermost heart has been truly ascertained, you shall have all My arrangements.",kono kodomo shinjitsu yori mo mune no uchi   misadame tsukeba ikana moyo mo,このこどもしんぢつよりもむねのうち,みさだめつけばいかなもよふも,この子供真実よりも胸の内   見定め付けば如何な模様も,"When I truly ascertain the innermost hearts of these children, I will prepare any and every work."
356,4,86,,,"Embora o espírito de Deus se apresse dia a dia, não há compreensão no espírito dos filhos.","Though the mind of God hastens day after day, there is no understanding in the minds of you children.",nichinichi ni Kami no kokoro wa sekikomedo   kodomo no kokoro wakari nai node,にち／＼に神の心わせきこめど,こともの心わかりないので,日々に神の心は急き込めど   子供の心分かり無いので,Day by day the mind of God is impatiently hastening. But the minds of children cannot understand it.
357,4,87,,,"Por não serem poucos os filhos, muitos corações nada compreendem.","With My children, as their number is not small, there are so many whose heart is yet without understanding.",kodomo demo chotto no hito dewa nai karani   oku no mune ga sarani wakaran,こともでも一寸の人でハないからに,をふくのむねがさらにハからん,子供でも一寸の人では無いからに   多くの胸が更に分からん,"Speaking of My children, as their number is not small, it is more difficult to open so many minds to reason."
358,4,88,,,"Embora até agora tenham enfatizado as ciências, nada sabem sobre coisas ainda não vistas.","Even until now, though people speak highly of a thing called learning, no one knows of things yet unseen.",imamade wa gakumon nazo to yuta tote   miete nai koto sarani shiromai,いまゝでハがくもんなぞとゆうたとて,みゑてない事さらにしろまい,今迄は学問なぞと言うたとて   見えて無い事更に知ろまい,Until now there has been a matter which is called learning. But you can never know things which have not yet appeared.
359,4,89,,,"Doravante, deixarei explicado gradualmente tudo sobre todas as coisas ainda não vistas.","Hereafter, I shall teach you any and all things yet unseen, step by step.",konosaki wa miete nai koto dandan to   yorozu no koto o mina toite oku,このさきハみへてない事だん／＼と,よろずの事をみなといてをく,この先は見えて無い事段々と   万の事を皆説いて置く,Henceforth I will teach you one by one all matters which have not yet appeared.
360,4,90,,1,"Doravante, ensino gradualmente o Serviço não tido desde o início deste mundo, e o movimento das mãos.","From now on, step by step, I shall teach you the Service unknown since this world began and train you in its hand movements.",korekara wa kono yo hajimete nai Tsutome   dandan oshie te o tsukeru nari,これからハこのよはじめてないつとめ,だん／＼をしへてをつけるなり,これからはこの世初めて無い勤め   段々教え手を付けるなり,"From now on I will teach you the Service which has never existed since the creation of this world, and train you in the hand-gestures of it."
361,4,91,1,1,"Este Serviço é o caminho para salvar o mundo inteiro, que fará até um mudo falar.",This Service is the path of salvation for the entire world. I shall enable even a mute to speak.,kono Tsutome sekaiju no tasuke michi   oshi demo mono o yuwasu koto nari,このつとめせかいぢううのたすけみち,をしでもものをゆハす事なり,この勤め世界中の救け道   唖でも物を言わす事なり,Verily this Service is the way to save the whole world. Through this even a mute begins to speak.
362,4,92,,1,"Que o pessoal do Serviço firmem dia a dia o espírito. Aprendam logo o mover das mãos, acalmando o espírito.","Be firm day after day, you performers of the Service! Calm your minds and learn the hand movements quickly!",nichinichi ni Tsutome no ninju shikato seyo   kokoro shizumete hayaku te o tsuke,にち／＼につとめのにんぢうしかとせよ,心しづめてはやくてをつけ,日々に勤めの人衆確とせよ   心静めて早く手を付け,"Determine your minds day after day, you the members of the Service! You must learn the hand-gestures quickly, keeping your minds calm."
363,4,93,1,1,"Que pensam ser este Serviço? É somente a salvação, pacificando o mundo.",What do you think this Service is about? It is solely to bring peace to the world and salvation to all.,kono Tsutome nanino koto ya to omote iru   sekai osamete tasuke bakari o,このつとめなにの事やとをもている,せかいをさめてたすけばかりを,この勤め何の事やと思うて居る   世界治めて救けばかりを,What do you think this Service is? Through it I will bring peace to the world and thus single-heartedly save all mankind.
364,4,94,,1,"Quando este caminho for certamente visto, as raízes das doenças serão todas cortadas.","When this path is clearly seen, the root of illness will be cut off entirely.",kono michi ga tashika mietaru koto naraba   yamai no ne wa kirete shimau de,このみちがたしかみゑたる事ならば,やまいのねゑわきれてしまうで,この道が確か見えたる事ならば   病の根は切れてしまうで,"When this way is surely realized, the root of disease will be cut off."
365,4,95,,,"Seja quem for, segundo a sinceridade de cada um, jamais negarei qualquer providência.","According to your mind of sincerity, I deny My protection to no one, whoever you may be.",shinjitsu no kokoro shidai ni izukata mo   ikana shugo mo sen to yuwan de,しんぢつの心しだいにいづかたも,いかなしゆごふもせんとゆハんで,,"If only I find sincerity in your mind, I will not deny any protection to you, whoever you may be."
366,4,96,,,O atual caminho é a instância de Deus. Que os de casa não se preocupem e observem atentamente.,About the present path: God is hastening. Those of you within need not worry. Watch carefully!,ima no michi Kami no sekikomi uchi naru wa   anji nai zo ya shikato mite iyo,いまのみち神のせきこみうちなるハ,あんぢないぞやしかとみていよ,今の道神の急き込み内なるは   案じ無いぞや確と見て居よ,"As it is God who is impatiently hastening the present way, there is nothing to fear for those who are familiar with Me. Wait and watch carefully!"
367,4,97,,,Tenho dito que o caminho de até agora se transformará. Deus não diz nada errado.,I have already told you the path will be changed from what it was until now. There is no mistake in what God says.,koremade to michi ga kawaru to yute aru   Kami wa chigota koto wa yuwan de,これまでとみちがかわるとゆうてある,神ハちごふた事ハゆハんで,これ迄と道が変わると言うて有る   神は違うた事は言わんで,I have foretold you that the way will be changed. God never says what shall not be realized.
368,4,98,,,"Doravante, mesmo querendo, não há como expressar em palavras a instância do espírito de Deus.","Hereafter, I shall not be able to tell you of this growing impatience in the mind of God, even should I so desire.",konosaki wa Kami no kokoro no sekikomi o   kuchi dewa domu yu ni yuwaren,このさきハ神の心のせきこみを,くちでハどふむゆうにゆハれん,この先は神の心の急き込みを   口ではどうも言うに言われん,"Henceforth I cannot tell you by mouth the impatience of the mind of God, even though I may endeavor to do so."
369,4,99,,,"Por mais que tenha dito ser difícil, se deixar de explicar, jamais poderão entendê-lo.","However difficult it may be, if things are left untold, there will be no chance of understanding.",ika hodoni mutsukashi koto to yuta tote   tokazu ni ite wa wakaru me wa nashi,いかほどにむつかし事とゆうたとて,とかすにいてハわかるめハなし,如何程に難し事と言うたとて   説かずに居ては分かるめは無し,"However difficult it may be, unless I teach it to you, you　will not be able to understand."
370,4,100,,,"Dia a dia, deixarei explicado gradualmente a intenção de Deus. Ouçam a respeito disso.","Day by day and step by step, I shall teach you the thoughts of God. Please listen to Me.",nichinichi ni Kami no omowaku dandan to   toite oku zo ya kore kiite kure,にち／＼に神のをもわくだんだんと,といてをくぞやこれきいてくれ,日々に神の思惑段々と   説いて置くぞやこれ聞いて呉れ,Day after day I will reveal to you the divine intention of God. Please listen and understand it well!
371,4,101,,,Este caminho é algo difícil e extraordinário. Fiquem observando atentamente.,"This path may be somewhat difficult, but it is marvelous indeed. Watch it carefully.",kono michi wa nanika mutsukashi mezurashii   michi de aru zo ya tashika mite iyo,このみちハなにかむつかしめつらしい,みちであるぞやたしかみていよ,この道は何か難し珍しい   道で有るぞや確か見て居よ,This way is somewhat difficult but remarkable indeed. Wait and watch it surely!
372,4,102,,,"Se passarem por este caminho, desde então, a região dos não-esclarecidos estará transformada na dos esclarecidos.","After you have completed taking this path, Kara will have become part of Nihon.",kono michi o torinuketara sonosaki wa   kara wa nihon no jii ni shite aru,このみちをとふりぬけたらそのさきハ,からハにほんのぢいにしてある,この道を通り抜けたらその先は   唐は日本の地にして有る,"When we have passed through this way, the region where My teachings shall spread later will be made the region where My teachings spread."
373,4,103,,,"Se a região dos não-esclarecidos for transformada na dos esclarecidos, isto será o motivo de viver animadamente para todo o sempre.","When Kara becomes Nihon, this will be the passage to eternal joy.",kara no ji o nihon no jii ni shita naraba   kore matsudai no iki dori nari,からのぢをにほんぢいにしたならば,これまつだいのいきどふりなり,唐の地を日本の地にしたならば   これ末代の生き通りなり,"When the region where My teachings shall spread later is made the region where My teachings spread, this joy will continue living eternally."
374,4,104,,,"Os superiores governam este mundo, e Deus, o universo. Distinguirei o espírito dos superiores do de Deus.","The high places rule this world, but Heaven is also high. I shall make a distinction between the minds of the high places and the mind of God.",kono yo o osameru mo kami ten mo Kami   kami to Kami to no kokoro wakeru de,このよふを納も上天もかみ,上と神との心わけるで,この世を治めるも上天も神   上と神との心分けるで,"Those who govern this world are called kami, and Heaven is also called Kami, and I will distinguish the mind of God from those of the upper people."
375,4,105,,,"Deixarei dito gradualmente coisas ainda não vistas. Se forem vistas posteriormente, estas serão manifestações de Deus.","Step by step, I shall tell you about things yet unseen. When they come into sight in the future, it is God!",dandan to mien koto oba yute oite   saki de mietara kore ga Kami ya de,だん／＼とみゑん事をばゆてをいて,さきでみゑたらこれが神やで,段々と見えん事をば言うて置いて   先で見えたらこれが神やで,"One by one I will foretell you things yet unseen. When they are realized, it is the proof that these are the words of God."
376,4,106,,,"Embora se falem tanto sobre coisas já vistas, se não forem vistas posteriormente, não as entenderão.","No matter what people say about things already seen, if what is said is not seen in the future, perhaps there is no understanding.",ika hodoni mietaru koto o yuta tote   saki de mieneba wakari arumai,いかほどにみゑたる事をゆうたとて,さきでみゑねはわかりあるまい,如何程に見えたる事を言うたとて   先で見えねば分かり有るまい,"However minutely one can explain things which are already visible, if one's words are not realized in the future, one cannot be said to know everything."
377,4,107,,,"Doravante, distinguirei o íntimo dos corações de todo mundo, tanto dos superiores como dos inferiores.","From now on, I shall bring understanding by making a distinction in the innermost hearts of both the high and the low all over the world.",korekara wa sekaiju no mune no uchi   kami shimo tomoni wakete miseru de,これからハせかいぢううのむねのうち,上下ともにわけてみせるで,これからは世界中の胸の内   上下共に分けて見せるで,"Henceforth I will distinguish between the innermost hearts of people of the whole world, the upper and lower people equally."
378,4,108,,,Vejam isto! Não discrimino os do mundo dos de casa e farei a limpeza do íntimo dos seus corações.,Watch! I shall cleanse the innermost hearts of those within and all others in the world without discrimination.,kore o miyo sekai mo uchi mo hedate nai   mune no uchi yori soji suru zo ya,これをみよせかいもうちもへたてない,むねのうちよりそふぢするぞや,これを見よ世界も内も隔て無い   胸の内より掃除するぞや,Look at this! I will clean up the innermost hearts of both those who are familiar with Me and the worldly people without any discrimination.
379,4,109,,,"Embora esta limpeza seja uma coisa difícil, deixo dito que não há o que se chama doença.","This cleansing will be a difficult matter, but I say to you beforehand: there is nothing to be called illness.",kono soji mutsukashi koto de aru keredo   yamai to yu wa nai to yute oku,このそふぢむつかし事であるけれど,やまいとゆうわないとゆてをく,この掃除難し事で有るけれど   病と言うは無いと言うて置く,This sweeping may be difficult to accomplish. But I warn you: there is nothing to be called illness.
380,4,110,,,"Qualquer que seja a dor, o sofrimento, a ferida, a febre ou a diarréia, tudo são poeiras.","Whatever pains, sufferings, tumors, fevers, or looseness of the bowels: all are from dust.",dono yona itami nayami mo dekemono ya   netsu mo kudari mo mina hokori ya de,どのよふないたみなやみもでけものや,ねつもくだりもみなほこりやで,どの様な痛み悩みも出来物や   熱も下りも皆埃やで,"Whatever kinds of pains, sufferings, swellings, fevers or loose bowels are nothing but dust."
381,4,111,,,"Desde que iniciei este mundo, nada foi ensinado aos superiores.",Not since I began this world have I taught everything to those in high places.,kono yo o hajimete karani nanimo kamo   kami e oshieta koto wa arumai,このよふを初てからになにもかも,上ゑをしへた事ハあるまい,この世を初めてからに何もかも   上へ教えた事は有るまい,Since the creation I have never taught anything to the upper people.
382,4,112,,,"Desta vez, se deixar informado aos superiores quaisquer fatos a respeito de tudo...","This time, if I should inform those in high places about the truth of any and all matters,",konotabi wa nanika yorozu o kami taru e   shirashite oita koto de aru nara,このたびハなにかよろづを上たるゑ,しらしてをいた事であるなら,この度は何か万を上たるへ   知らして置いた事で有るなら,But this time I will teach any and everything to the upper people.
383,4,113,,,"Desde então, haverá entre eles quem reflita. Quando todos se reunirem e dialogarem,","Then, some among them may ponder. And if they all gather and speak to one another,",sorekara wa naka niwa shiyan suru mo aro   mina yoriyote hanashi shita nara,それからハなかにハしやんするもあろ,みなよりよふてはなししたなら,それからは中には思案するも有ろう   皆寄り合うて話したなら,"Then someone among them may ponder and, gathering altogether, talk about the matter to each other."
384,4,114,,,"Dentre eles, haverá quem venha a compreender com espírito sincero que isto seja promissor.",Some among them will understand and truly feel hopeful over the teachings.,sono naka ni shinjitsu kokoro tanomoshii   omote shiyan o suru mono mo aru,そのなかにしんぢつ心たのもしい,をもてしやんをするものもある,その中に真実心頼もしい   思うて思案をする者も有る,Among them there may be some who think that this is indeed the true and trustworthy teaching.
385,4,115,,,"Se este caminho atingir os superiores, revelarei prontamente o trabalho onipotente de Deus.","When this path reaches through to the high places, God will reveal free and unlimited workings at once.",kono michi o kami e torita koto naraba   Kami no juyo suguni arawasu,このみちを上ゑとふりた事ならば,神のぢうよふすぐにあらわす,この道を上へ通りた事ならば   神の自由直ぐに表す,"When this way becomes understood by the upper people, I will manifest My omnipotence at once."
386,4,116,,,"Por não ter sido mostrado ainda a onipotência de Deus, que iniciou este mundo,","I have not yet shown you any of the free and unlimited workings of God, who began this world.",kono yo o hajimeta Kami no juyo o   misetaru koto wa sarani nai node,このよふを初た神のぢうよふを,みせたる事ハさらにないので,この世を初めた神の自由を   見せたる事は更に無いので,I have not yet manifested the omnipotence of God who created this world.
387,4,117,,,"Seja o que for, ficará como está enquanto ignorarem, mas, quando forem informados sobre a onipotência de Deus...","In everything, as long as you know nothing, you remain as you are. But if I let you know of God's free and unlimited workings,",nani nitemo shiran aida wa sono mama ya   Kami no juyo shirashitaru nara,なにゝてもしらんあいだハそのまゝや,神のぢうよふしらしたるなら,何にても知らん間はその侭や   神の自由知らしたるなら,"On whatever kinds of things, as long as you know nothing, you remain as you were. But if I let you know the omnipotence of God,"
388,4,118,,,"Ouvindo-o, todas as pessoas devem refletir. Todas as coisas dependem do espírito.","On hearing of it, all of you in the world must ponder. Any and all matters are according to the mind.",kore kiite mina ichiretsu wa shiyan seyo   nanika yorozu wa kokoro shidai ya,これきいてみな一れつわしやんせよ,なにかよろつハ心しだいや,これ聞いて皆一列は思案せよ   何か万は心次第や,"On hearing this, all of you must ponder over it deeply. Any and everything will be manifested in accord with the working of your minds."
389,4,119,,,"No dia de hoje, embora ainda nada seja visto, vejam o sexto mês, tudo começará a surgir.","Today, nothing can be seen, but be watchful! In the sixth month, everything will begin to appear.",kyonohi wa nani ga mieru ya nai keredo   roku gatsu o miyo mina dekakeru de,けふの日ハなにがみへるやないけれど,六月をみよみなでかけるで,今日の日は何が見えるや無いけれど   六月を見よ皆出掛けるで,At present you can see nothing. But look on the sixth month! Everything will begin to appear.
390,4,120,,,"Até agora, os altos montes vivem se vangloriando enquanto os do fundo dos vales vivem humilhados.","Until now, the high mountains have been boastful while the low valleys withered.",imamade wa takai yama ya to yute iru   tanisoko nitewa shiken bakari o,いまゝでハ高い山やとゆうている,たにそこにてハしけんばかりを,今迄は高い山やと言うて居る   谷底にては時化んばかりを,"Hitherto some have been boasting on the high mountains, and others were going to wither at the bottoms of the valleys."
391,4,121,,,"Doravante, explicarei a criação original tanto nos altos montes como no fundo dos vales.","From now on, I shall teach both the high mountains and the low valleys about the beginnings of origin.",korekara wa takayama nitemo tanisoko mo   moto hajimari o yute kikasuru,これからわ高山にてもたにそこも,もとはじまりをゆうてきかする,これからは高山にても谷底も   元初まりを言うて聞かする,From now on I will teach you both on the high mountains and at the bottoms of the valleys how this world was created.
392,4,122,,1,"No início, este mundo era um mar de lama, e, no seu interior, existiam somente cadozes.",The beginning of this universe was a muddy ocean. Therein were only loaches.,kono yo no hajimari dashi wa doro no umi   sono naka yori mo dojo bakari ya,このよふのはぢまりだしハとろのうみ,そのなかよりもどちよばかりや,この世の初まり出しは泥の海   その中よりも泥鰌ばかりや,At the beginning this universe was a muddy ocean. And therein were living only a numerous number of loaches.
393,4,123,,1,O que pensam serem estes cadozes? São as sementes dos seres humanos.,What do you think these loaches were? They were the very seeds of human beings.,kono dojo nanino koto ya to omote iru   kore ningen no tane de aru zo ya,このどぢよなにの事やとをもている,これにんけんのたねであるそや,この泥鰌何の事やと思うて居る   これ人間の種で有るぞや,What do you think these loaches were? They were the very seeds of human beings.
394,4,124,,1,"Deus os atraiu, comeu e os tornou gradualmente em seres humanos por meio de sua providência.","God drew them up and consumed them all, and through providence brought them up into human beings step by step.",kono mono o Kami ga hikiage kute shimote   dandan shugo ningen to nashi,このものを神がひきあけくてしもて,だん／＼しゆごふにんけんとなし,この者を神が引き上げ喰うてしもて   段々守護人間と成し,"Dipping them up, God ate all of them and step by step through divine protection brought them up into human beings."
395,4,125,,1,"Desde então, o que se diz providência de Deus não tem sido nada fácil.","From that time on, God's providence has been by no means an easy matter.",soreyori mo Kami no shugo to yu mono wa   nami taitei na koto de nai zo ya,それよりも神のしゆことゆうものわ,なみたいていな事でないぞや,それよりも神の守護と言うものは   並大抵な事で無いぞや,From that time on God has exerted an extraordinary effort to protect the growth of man.
396,4,126,,1,"Não pensem serem insignificantes estas palavras, pois desejo salvar todos do mundo igualmente.",Do not think of this talk as being trivial. I desire to save all people in the world.,kono hanashi chotto no koto ya to omouna yo   sekai ichiretsu tasuketai kara,このはなし一寸の事やとをもうなよ,せかい一れつたすけたいから,この話一寸の事やと思うなよ   世界一列救けたいから,Never think that this talk is a mere trifle! I wish indeed to save all people of the world equally.
397,4,127,,,"Saibam que, no dia-a-dia, há verdadeiramente uma profunda intenção no espírito de Deus.",Know that the mind of God is truly filled with deep concerns for you day after day.,nichinichi ni Kami no kokoro no shinjitsu wa   fukai omowaku aru to omoe yo,にち／＼に神の心のしんぢつわ,ふかいをもわくあるとをもへよ,日々に神の心の真実は   深い思惑有ると思えよ,You must understand that day after day there is deep intention in the true sincerity of the mind of God.
398,4,128,,,"Até agora, a região dos esclarecidos tem-se sujeitado à vontade da região dos não-esclarecidos. Isto é o pesar de Deus.","Until now, to God's regret, Nihon has been dominated, obeying those of Kara.",imamade wa nihon ga kara ni shitagote   mamani shirareta Kami no zannen,いまゝでハにほんかからにしたごふて,まゝにしられた神のざんねん,今迄は日本が唐に従ごうて   侭にしられた神の残念,Until now the people of the region where My teachings spread early have been following after and have been under the control of the people of the region where My teachings shall spread later. This is the reason of the regret of God.
399,4,129,,,"Vejam esta devolução que é trabalho de Deus. Seja quem for, não poderá imitá-lo.","Watch the workings of God given in return! No one will be able to imitate Me, whoever one may be.",kono kayashi Kami no hataraki kore o miyo   ikana mono demo mane wa dekemai,このかやし神のはたらきこれをみよ,いかなものでもまねわでけまい,この返し神の働きこれを見よ   如何な者でも真似は出来まい,"In return for this I, God, will manifest My work. Look at this! No one will be able to imitate it, whoever he may be."
400,4,130,,,"Não importa quão fortes sejam, Deus se retirará e então nada poderão fazer.","No matter how strong they may be, if God should withdraw, they will be powerless.",ika hodono goteki taru to yuta tote   Kami ga shirizoku kore kanaimai,いかほどのごふてきたるとゆうたとて,神がしりぞくこれかないまい,如何程の強敵たると言うたとて   神が退くこれ敵いまい,"However strong you may be; you will be able to do nothing, if God withdraws from your body."
401,4,131,,,"Seja em que for, todos estão sob este princípio. Saibam que Deus trabalha onipotentemente.",It is the same as this for everyone in all matters. Know that God will work freely and unlimitedly.,nani nitemo mina ichiretsu wa kono dori   Kami ga juyo suru to omoe yo,なにゝてもみな一れつハこのどふり,神がぢうよふするとをもゑよ,何にても皆一列はこの道理   神が自由すると思えよ,It is the same as this for any and every person and on whatever kinds of matters. You must understand the omnipotence of God in all cases.
402,4,132,,,"Reflitam! Sejam jovens, idosos ou fracos, qualquer onipotência será segundo o espírito.","Ponder well! No matter how young, old, or weak you may be, I shall give you My free and unlimited workings according to your mind.",shiyan seyo wakai toshiyori yowaki demo   kokoro shidai ni ikana juyo,しやんせよハかいとしよりよハきでも,心しだいにいかなぢうよふ,思案せよ若い年寄り弱きでも   心次第に如何な自由,"Ponder over it well! No matter how young, old or weak you may be, you will be protected with My omnipotence as your mind deserves."
403,4,133,,,"Embora tenham vivido do mesmo modo até agora, não há quem conheça a onipotência de Deus.","Even until now, though you have lived in the same way, none of you has known of God's free and unlimited workings.",imamade mo onaji kurashite itaru tomo   Kami no juyo shirita mono nashi,いまゝでもをなぢくらしていたるとも,神のぢうよふしりたものなし,今迄も同じ暮らして居たるとも   神の自由知りた者無し,Until now you have been living just as you do now. But there has been no one who understands the omnipotence of God.
404,4,134,,,"Doravante, explicarei tudo sobre todas as coisas. Façam com que não tenham erros espirituais.","From now on, I shall teach you about any and all matters. Make certain you make no errors of the mind.",korekara wa yorozu no koto o mina tokude   kokoro chigai no nai yoni seyo,これからハよろづの事をみなとくで,心ちがいのないよふにせよ,これからは万の事を皆説くで   心違いの無い様にせよ,Henceforth I will teach you any and everything. Take care lest you should misuse your mind!
405,5,1,,,"Até agora, tem-se falado de bois e cavalos, mas nunca foram capazes de conhecer o passado e o futuro.","Until now, there has been much talk of rebirth as oxen or horses, but there has been no one who knows his past or future.",imamade wa gyuba to yu wa mama aredo   ato saki shireta koto wa arumai,いまゝでハぎうばとゆうハまゝあれど,あとさきしれた事ハあるまい,今迄は牛馬と言うは侭有れど   後先知れた事は有るまい,Until now it has been said that some people will occasionally be reborn as oxen or horses. But there has been no one who knows one's previous and future lives.
406,5,2,,,"Desta vez, deixo informado o futuro já nesta vida. Vejam os incômodos no corpo.","This time, I shall make your future known in this life: look at the disorder of the body!",konotabi wa saki naru koto o kono yo kara   shirashite oku de mi ni sawari miyo,このたびハさきなる事を此よから,しらしてをくでみにさハりみよ,この度は先なる事をこの世から   知らして置くで身に障り見よ,This time I will let you know your future life while you are still alive. Look at the disorders in your own bodies!
407,5,3,,,"Embora cuidem tanto de si mesmos neste mundo, ninguém poderá resistir à ira de Deus.","In this world, however much you may be concerned about yourself, you are helpless against the anger of God.",kono yo wa ika hodo waga mi omotemo   Kami no rippuku kore wa kanawan,このよふハいかほどハがみをもふても,神のりいふくこれハかなハん,この世は如何程我が身思うても   神の立腹これは敵わん,"In this world, however well you may think of your own selves, you are not match against the anger of God."
408,5,4,1,,Cogitações egocêntricas individuais são desnecessárias. Deus distinguirá um a um.,None of you needs self-centered concern. God will distinguish between each of you.,meme ni waga mi shiyan wa iran mono   Kami ga sorezore miwake suru zo ya,めへ／＼にハがみしやんハいらんもの,神がそれ／＼みわけするぞや,銘々に我が身思案は要らんもの   神がそれぞれ見分けするぞや,Each of you need not worry about yourselves. God will distinguish between each of you just as you deserve.
409,5,5,,,"Embora estejam vivendo na mesma casa, saibam que aí existem tanto deuses como iluminados.","Among those living in the same residence, know that there are both god and buddha.",hito yashiki onaji kurashite iru uchi ni   Kami mo hotoke mo aru to omoe yo,一やしきをなじくらしているうちに,神もほとけもあるとをもへよ,一屋敷同じ暮らして居るうちに   神も仏も有ると思えよ,"Among the members of a family living in one residence, there is as great a difference as that between god and Buddha."
410,5,6,,,"Vendo isto, seja quem for, convençam-se, pois mostrarei distinguindo entre o bem e o mal.","If you see this, be convinced, whoever you may be: God will distinguish between good and evil.",kore o mite ikana mono demo tokushin se   zen to aku to o wakete miseru de,これをみていかなものでもとくしんせ,善とあくとをわけてみせるで,これを見て如何な者でも得心せ   善と悪とを分けて見せるで,"Looking at this, whatever kind of person you may be, you must become convinced of the truth that I, God, will distinguish good from evil."
